,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
401,Las hermanas Munekata,Munekata kyodai,1950,112 min.,Japón,Yasujirō Ozu,"Kogo Noda, Yasujirō Ozu (Historia: Jiro Osaragi)","Hideko Takamine, Chishu Ryu, Tatsuo Saito, Sanae Takasugi, Kinuyo Tanaka, Ken Uehara, Sô Yamamura, Kamatari Fujiwara, Noriko Sengoku, Yuji Hori, Setsuko Horikoshi, Reikichi Kawamura, Yoshiko Tsubouchi, Atsuko Ichinomiya",Shintoho,Drama | Alcoholismo. Melodrama. Celos. Enfermedad. Familia,"Setsuko se siente desgraciada al lado de su marido, un ingeniero alcohólico y sin trabajo. Ella estuvo siempre enamorada de Hiroshi, aunque nunca llegaron a prometerse, porque él emigró a Francia. Ahora, que ha regresado a Japón, la hermana de Setsuko intenta unirlos de nuevo. El único problema es que ella también está secretamente enamorada de él. (FILMAFFINITY)",,7.8,1023,,,,https://pics.filmaffinity.com/munekata_kyodai-929989298-mmed.jpg,../images/LashermanasMunekata1950.jpg,7.4,795
402,Nubes dispersas,Midaregumo,1967,108 min.,Japón,Mikio Naruse,Nobuo Yamada,"Yûzô Kayama, Yôko Tsukasa, Yu Fujiki, Mie Hama, Daisuke Kato, Mitsuko Kusabue, Mitsuko Mori",Toho,Drama. Romance | Melodrama,"Yumiko, una joven casada, está embarazada por primera vez. Su marido Hiroshi, que trabaja en el Ministerio de Comercio e Industria, ha subido de categoría y tiene un nuevo destino en Washington. Sin embargo, todo se derrumba cuando Hiroshi muere atropellado en un accidente de tráfico. Aunque el conductor del coche es declarado inocente, vive atormentado por el sentimiento de culpa y decide ayudar a la viuda, pero ella lo rechaza. (FILMAFFINITY)",,7.8,708,,,,https://pics.filmaffinity.com/midaregumo-410710734-mmed.jpg,../images/Nubesdispersas1967.jpg,7.8,945
403,La vida de una mujer,Onna no rekishi,1963,126 min.,Japón,Mikio Naruse,Ryozo Kasahara,"Hideko Takamine, Akira Takarada, Tsutomu Yamazaki, Keiko Awaji, Yuriko Hoshi, Tatsuya Nakadai, Mitsuko Kusabue, Daisuke Kato",Toho,Drama,"Nobuko Shimizu sufrió la muerte de su marido y tuvo que criar a su hijo como madre soltera. Ya con 25 años, su hijo planea casarse con una joven que no es del agrado de Nobuko. (FILMAFFINITY)",,7.8,140,,,,https://pics.filmaffinity.com/onna_no_rekishi-589692682-mmed.jpg,../images/Lavidadeunamujer1963.jpg,,
404,La escuela de Shinomi,Shiinomi Gakuen,1955,99 min.,Japón,Hiroshi Shimizu,Hiroshi Shimizu (Libro: Saburô Yamamoto),"Kyôko Kagawa, Yukiko Shimazaki, Kenzo Kawarazaki, Jûkichi Uno, Kumiko Mizuhara, Ranko Hanai, Ryo Iwashita, Ichirô Ryûzaki, Saburo Date",Shintoho,Drama | Discapacidad. Enseñanza,"Un profesor de psicología universitario, Yamamoto, y su mujer Fumiko son padres de dos niños. Uno de ellos, Yudo, sufre de parálisis infantil y es objeto de burlas por parte de sus compañeros de escuela. Inspirados en la fuerza de voluntad de su hijo, la pareja decide emplear todos sus ahorros para fundar una escuela especial en la cual otros niños con el mismo problema puedan recibir atenciones y construir la necesaria autoconfianza con la cual enfrentar la vida. (FILMAFFINITY)",,7.8,59,,,,https://pics.filmaffinity.com/shiinomi_gakuen-296750827-mmed.jpg,../images/LaescueladeShinomi1955.jpg,,
405,Los intocables de Eliot Ness,The Untouchables,1987,119 min.,Estados Unidos,Brian De Palma,"David Mamet (Novelas: Oscar Fraley, Eliot Ness)","Kevin Costner, Sean Connery, Robert De Niro, Andy García, Charles Martin Smith, Billy Drago, Patricia Clarkson, Brad Sullivan, Del Close, Michael Byrne, Richard Bradford, Clem Caserta",Paramount Pictures,Cine negro. Acción. Thriller. Drama | Neo-noir. Policíaco. Mafia. Crimen. Años 20. Años 30,"Chicago, años 30. Impera la 'Ley seca', que prohíbe la venta de alcohol. El idealista agente federal Eliot Ness (Kevin Costner) persigue implacablemente al gángster Al Capone (Robert De Niro), amo absoluto del crimen organizado en la ciudad. La falta de pruebas le impide acusarlo de asesinato, extorsión y comercio ilegal de alcohol, pero Ness, con la ayuda de un par de intachables policías (Andy Garcia y Charles Martin Smith) reclutados con la ayuda de un astuto agente (Sean Connery), intentará encontrar algún medio para inculparlo por otra clase de delitos. (FILMAFFINITY)","['1987: Oscar: Mejor actor secundario (Sean Connery). 4 nominaciones', '1987: Globos de Oro: Mejor actor secundario (Sean Connery). 2 nominaciones', '1987: Premios BAFTA: Mejor música banda sonora. 4 nominaciones', '1987: Círculo de Críticos de Nueva York: Nominada a mejor actor secundario (Connery)', '1987: Asociación de Críticos de Los Angeles: Nominada a Mejor actor sec. (Connery)', '1987: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado', '1987: Premios César: Nominada a Mejor película extranjera', '1987: Premios David di Donatello: Nominada a mejor productor extranjero (Linson)']",7.8,88718,9,2,0,https://pics.filmaffinity.com/the_untouchables-927465665-mmed.jpg,../images/LosintocablesdeEliotNess1987.jpg,7.9,285193
406,Del revés (Inside Out),Inside Out,2015,94 min.,Estados Unidos,"Pete Docter, Ronaldo Del Carmen","Pete Docter, Meg LeFauve, Josh Cooley (Historia: Pete Docter, Ronaldo Del Carmen)",Animación,"Pixar Animation Studios, Walt Disney Pictures",Animación. Fantástico. Aventuras. Comedia | Infancia. Familia. Pixar. 3-D,"Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley. (FILMAFFINITY)","['2015: Premios Oscar: mejor film de animación. Nominada a mejor guión original', '2015: Premios Annie: 10 premios, incluyendo Mejor película y dirección', '2015: Premios BAFTA: Mejor film animado', '2015: Festival de Cannes: Sección oficial largometrajes (fuera de concurso)', '2015: Globos de Oro: Mejor filme de animación', '2015: Premios David di Donatello: Nominado a mejor film extranjero', '2015: National Board of Review (NBR): Top 10, Mejor largometraje de animación', '2015: American Film Institute (AFI): Top 10 - Mejores películas del año', '2015: Círculo de Críticos de Nueva York: Mejor película de animación', '2015: Asociación de Críticos de Los Angeles: Nominada a Mejor largometraje de animación', '2015: Satellite Awards: Mejor largometraje de animación. 4 nominaciones', '2015: Critics Choice Awards: Mejor largometraje de animación', '2015: Críticos de Chicago: Mejor film de animación. 4 nominaciones', '2015: Círculo de Críticos de San Francisco: Nominada a mejor película de animación', '2015: Sindicato de Productores (PGA): Mejor película de animación', '2015: Asociación de Críticos de Boston: Nominada a mejor película animación']",7.8,77745,37,1,1,https://pics.filmaffinity.com/inside_out-161470323-mmed.jpg,../images/DelrevsInsideOut2015.jpg,8.1,626550
407,Los pájaros,Alfred Hitchcock's The Birds,1963,115 min.,Estados Unidos,Alfred Hitchcock,Evan Hunter (Relato: Daphne Du Maurier),"Tippi Hedren, Rod Taylor, Jessica Tandy, Suzanne Pleshette, Veronica Cartwright, Ethel Griffies, Charles McGraw, Doreen Lang, Ruth McDevitt, Joe Mantell, Alfred Hitchcock",Universal Pictures (Productor: Alfred Hitchcock),Terror | Animales. Aves/Pájaros. Película de culto,"Melanie, una joven rica y snob de la alta sociedad de San Francisco, conoce casualmente en una pajarería al abogado Mitch Brenner. Él, que conoce por la prensa la alocada vida de Melanie, la trata con indiferencia y se va de la tienda dejándola bastante irritada. Ella, que no está acostumbrada a que la traten así, encarga unos periquitos y se presenta en la casa de la madre de Mitch, en Bodega Bay. En cuanto llega, los pájaros, enloquecidos, empiezan a atacar salvajemente a los habitantes del lugar. La situación se agrava a medida que avanzan las horas. (FILMAFFINITY)","['1963: Nominada al Oscar: Mejores efectos visuales', '1963: Globos de Oro: Nueva promesa femenina (Tippi Hedren)', '1963: Festival de Cannes: Sección oficial (Fuera de competición)', '1963: Círculo de Críticos de Nueva York: Nominada a mejor película']",7.8,54333,14,1,0,https://pics.filmaffinity.com/alfred_hitchcock_s_the_birds-851609530-mmed.jpg,../images/Lospjaros1963.jpg,7.7,173313
408,Una historia verdadera,The Straight Story,1999,111 min.,Estados Unidos,David Lynch,"John Roach, Mary Sweeney","Richard Farnsworth, Sissy Spacek, Harry Dean Stanton, Everett McGill, John Farley, Jane Galloway Heitz, Dan Flannery, Kevin P. Farley, Wiley Harker, Tracey Maloney","Co-production Estados Unidos-Francia; Studiocanal, Les Films Alain Sarde, The Picture Factory, Film4 Productions, Asymetrical Production, Ciby 2000",Drama | Basado en hechos reales. Vida rural (Norteamérica). Road Movie. Vejez/Madurez. Cine independiente USA. Película de culto,"Alvin Straight (Richard Farnsworth) es un achacoso anciano que vive en Iowa con una hija discapacitada (Sissy Spacek). Además de sufrir un enfisema y pérdida de visión, tiene graves problemas de cadera que casi le impiden permanecer de pie. Cuando recibe la noticia de que su hermano Lyle (Stanton), con el que está enemistado desde hace diez años, ha sufrido un infarto, a pesar de su precario estado de salud, decide ir a verlo a Wisconsin. Para ello tendrá que recorrer unos 500 kilometros, y lo hace en el único medio de transporte del que dispone: una máquina cortacésped. (FILMAFFINITY)","['1999:  Oscar: Nominada a Mejor actor (Richard Farnsworth)', '1999: Globo de Oro: 2 nominaciones a Mejor actor, BSO', '1999: Festival de Cannes: Nominada a la Palma de Oro (mejor película)', '1999: Círculo de Críticos de Nueva York: Mejor actor (Farnsworth) y mejor fotogr. 4 nominaciones', '1999: Asociación de Críticos de Los Angeles: Nominada a Mejor actor (Farnsworth)', '1999: Premios Independent Spirit: Mejor actor (Farnsworth). 4 nominaciones', '2000: British Independent Film Awards (BIFA): Mejor película int. en lengua inglesa', '1999: Asociación de Críticos de Chicago: 3 nominaciones, incluyendo Mejor película']",7.8,40941,19,0,0,https://pics.filmaffinity.com/the_straight_story-423456282-mmed.jpg,../images/Unahistoriaverdadera1999.jpg,8.0,82926
409,Cabaret,Cabaret,1972,123 min.,Estados Unidos,Bob Fosse,"Jay Presson Allen (Novela: Christopher Isherwood) (Obra: John Van Druten, Joe Masteroff)","Liza Minnelli, Michael York, Helmut Griem, Joel Grey, Fritz Wepper, Helen Vita, Marisa Berenson, Elisabeth Neumann-Viertel, Sigrid von Richthofen, Gerd Vespermann, Ralf Wolter, Georg Hartmann, Ricky Renée, Estrongo Nachama","Allied Artists, ABC Pictures",Drama. Musical | Años 30. Nazismo. Baile,"Berlín, años 30. El partido nazi domina una ciudad donde el amor, el baile y la música se mezclan en la animada vida nocturna del Kit Kat Club. Un refugio mágico donde la joven Sally Bowles y un divertido maestro de ceremonias hacen olvidar las tristezas de la vida. (FILMAFFINITY)","['1972: 8 Oscars, incluyendo mejor director, actriz (Minelli) y actor sec. (Grey). 10 nom.', '1972: 3 Globos de Oro, incluyendo Mejor película Comedia o Musical. 9 nominaciones', '1972: 7 Premios BAFTA: incluyendo mejor película y mejor director. 11 nominaciones', '1972: Sindicato de Directores (DGA): Nominada a Mejor director', '1972: Sindicato de Guionistas (WGA): Mejor guión adaptado comedia', '1972: National Board of Review: Mejor película', '1972: Premios David di Donatello: Mejor director extranjero y mejor actriz extr. (Minelli)']",7.8,31327,13,0,0,https://pics.filmaffinity.com/cabaret-259655132-mmed.jpg,../images/Cabaret1972.jpg,7.8,48786
410,La costilla de Adán,Adam's Rib,1949,101 min.,Estados Unidos,George Cukor,"Ruth Gordon, Garson Kanin","Katharine Hepburn, Spencer Tracy, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy",Metro-Goldwyn-Mayer (MGM),Romance. Comedia | Comedia romántica. Comedia screwball. Drama judicial / Abogados/as. Comedia sofisticada,"Amanda y Adam son un idílico matrimonio de abogados cuya paz conyugal se ve afectada cuando un caso los enfrenta en los tribunales como defensor y fiscal respectivamente: una mujer es juzgada por disparar contra su marido y la amante de éste. Adam no duda de la culpabilidad de la acusada, pero Amanda no es de la misma opinión. (FILMAFFINITY)","['1950: Nominada al Oscar: Mejor historia y guión', '1950: Globos de Oro: Nominada Mejor actriz de reparto (Judy Holliday)', '1950: Sindicato de Guionistas (WGA): Nominada a Mejor guión comedia', '1949: Sindicato de Guionistas (WGA): Nominada a Mejor guión comedia', '']",7.8,10035,12,0,0,https://pics.filmaffinity.com/adam_s_rib-662662128-mmed.jpg,../images/LacostilladeAdn1949.jpg,7.5,19650
411,Gritos y susurros,Viskningar och rop (Cries and Whispers),1972,91 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Harriet Andersson, Kari Sylwan, Ingrid Thulin, Liv Ullmann, Anders Ek, Inga Gill, Erland Josephson, Henning Moritzen, Georg Årlin","Svenska Filminstitutet, Cinematograph AB",Drama | Enfermedad. Familia,"Ante la proximidad de la muerte de una de ellas, tres hermanas se reúnen en la vieja mansión familiar. Una vez en la casa, comienzan a recordar el pasado, y cuando la enferma entra en la agonía desvela la parte más oscura y tortuosa de su vida. (FILMAFFINITY)","['1973: Oscar: Mejor fotografía. Nominada a película, director, guión, vestuario', '1973: Festival de Cannes: Gran premio técnico, Sección Oficial (Fuera de concurso)', '1972: Globo de Oro: Nominada a película extranjera', '1973: Premios BAFTA: Nominada a mejor actriz (Ingrid Thulin) y fotografía', '1973: National Board of Review: mejor director, film extranjero, mejores 10 films extr.', '1973: 2 premios Guldbagge (Suecia): mejor película y actriz (Harriet Andersson)', '1972: Círculo de Críticos de Nueva York: 4 premios, incl. mejor película y director. 5 nom.', '1973: Premios David di Donatello: Mejor director extranjero']",7.8,8789,9,1,0,https://pics.filmaffinity.com/viskningar_och_rop_cries_and_whispers-120544272-mmed.jpg,../images/Gritosysusurros1972.jpg,8.1,30705
412,El río,Le fleuve (The River),1951,99 min.,Francia,Jean Renoir,"Rumer Godden, Jean Renoir (Novela: Rumer Godden)","Patricia Walters, Adrienne Corri, Nora Swinburne, Esmond Knight, Arthur Shields, Thomas E. Breen, Radha Shri Ram, Suprova Mukerjee, Richard Foster",Co-production Francia-India-Estados Unidos; Oriental International Film,Drama. Romance | Drama romántico. Colonialismo,"Historia de una joven perteneciente a una familia inglesa que vive en la India en la época de la posguerra. Allí conoce por primera vez el amor, la pérdida y todas las emociones propias de la adolescencia. (FILMAFFINITY)","['1952: Premios BAFTA: Nominada a mejor película y film británico', '1951: Festival de Venecia: Premio Internacional', '1951: Círculo de Críticos de Nueva York: Nominada a mejor película', '1951: National Board of Review: Top Mejores películas extranjeras']",7.8,3662,13,1,0,https://pics.filmaffinity.com/le_fleuve_the_river-348212591-mmed.jpg,../images/Elro1951.jpg,7.5,5699
413,El navegante,The Navigator,1924,59 min.,Estados Unidos,"Donald Crisp, Buster Keaton","Jean Havez, Joseph Mitchell, Clyde Bruckman","Buster Keaton, Kathryn McGuire, Frederick Vroom, Noble Johnson, Clarence Burton",Metro-Goldwyn-Mayer (MGM),Comedia | Cine mudo. Mediometraje,"Un armador, de cuya hija está enamorado Buster Keaton, vende uno de sus barcos a un país que está en guerra con otro. Sin embargo, los agentes de este último país tienen la misión de dejar el barco a la deriva para que naufrague. En medio de esta trama, Buster y su enamorada se embarcan en el navío, sin saber que éste va a la deriva. (FILMAFFINITY)",,7.8,3472,,,,https://pics.filmaffinity.com/the_navigator-115953719-mmed.jpg,../images/Elnavegante1924.jpg,7.7,9189
414,La ley de la hospitalidad,Our Hospitality,1923,74 min.,Estados Unidos,"Buster Keaton, John G. Blystone","Jean Havez, Joseph Mitchell (Historia: Clyde Bruckman)","Buster Keaton, Joe Roberts, Ralph Bushman, Craig Ward, Monte Collins, Joe Keaton, Kitty Bradbury, Natalie Talmadge",Joseph M. Schenck Productions,Comedia | Siglo XIX. Cine mudo,"Los Canfield y los McKay han heredado una enemistad que ha pasado de padres a hijos durante muchas generaciones. Pero, por caprichos del destino, Willie McKay (Buster Keaton) coge un tren en Nueva York, en el que conoce a Virginia Canfield (Natalie Talmadge)... (FILMAFFINITY)",,7.8,1914,7,0,0,https://pics.filmaffinity.com/our_hospitality-576603186-mmed.jpg,../images/Laleydelahospitalidad1923.jpg,7.8,10342
415,2001: Una odisea del espacio,2001: A Space Odyssey,1968,139 min.,Reino Unido,Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke (Historia: Arthur C. Clarke)","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Frank Miller, Penny Brahms, Alan Gifford, Vivian Kubrick","Co-production Reino Unido-Estados Unidos; Metro-Goldwyn-Mayer (MGM), Stanley Kubrick Production",Ciencia ficción | Aventura espacial. Internet/Informática. Película de culto,"La película de ciencia-ficción por excelencia de la historia del cine narra los diversos periodos de la historia de la humanidad, no sólo del pasado, sino también del futuro. Hace millones de años, antes de la aparición del ""homo sapiens"", unos primates descubren un monolito que los conduce a un estadio de inteligencia superior. Millones de años después, otro monolito, enterrado en una luna, despierta el interés de los científicos. Por último, durante una misión de la NASA, HAL 9000, una máquina dotada de inteligencia artificial, se encarga de controlar todos los sistemas de una nave espacial tripulada. (FILMAFFINITY)","['1968: Oscar: Mejores efectos visuales. 4 nominaciones, incluyendo Director y Guión', '1968: Premios BAFTA: Mejor banda sonora, fotografía y dirección artística', '1968: Sindicato de Directores (DGA): Nominada a Mejor director', '1968: Premios David di Donatello: Mejor productor extranjero']",7.8,112656,14,4,0,https://pics.filmaffinity.com/2001_a_space_odyssey-322989452-mmed.jpg,../images/2001Unaodiseadelespacio1968.jpg,8.3,610217
416,Hannah y sus hermanas,Hannah and Her Sisters,1986,106 min.,Estados Unidos,Woody Allen,Woody Allen,"Woody Allen, Mia Farrow, Michael Caine, Barbara Hershey, Dianne Wiest, Max von Sydow, Carrie Fisher, Lloyd Nolan, Maureen O'Sullivan, Sam Waterston, Daniel Stern, Richard Jenkins, Soon-Yi Previn",Orion Pictures (Productor: Jack Rollins & Charles H. Joffe Production),Comedia. Drama. Romance | Familia. Día de Acción de Gracias. Historias cruzadas,"Tres hermanas de caracteres muy diferentes, hijas de un matrimonio de actores, mantienen entre sí una estrecha relación. La mayor, Hannah, la que tiene un carácter más fuerte, está casada con un rico empresario y su vida parece equilibrada, perfecta. Actriz de éxito, esposa y madre ejemplar, se ha convertido en el centro de gravedad de toda la familia. Holly, la segunda, sensible e inestable, sueña con ser actriz. Lee, la pequeña, es una ex-alcohólica que vive en una buhardilla del Soho con un pintor minimalista mucho mayor que ella. Mucho menos afortunadas que Hannah, las hermanas suelen recurrir a ella cuando necesitan consejo o tienen problemas económicos. Pero esta situación comienza a tambalearse cuando Elliot, el marido de Hannah, se enamora de una de las hermanas de su mujer. (FILMAFFINITY)","['1986: 3 Oscars: Mejor actor sec. (Michael Caine), actriz sec. (Wiest), guión. 7 nominaciones', '1986: Globos de Oro: Mejor película - Comedia o Musical. 5 nominaciones', '1986: Premios BAFTA: Mejor director y guión. 8 nominaciones', '1986: Premios César: Nominada a Mejor película extranjera', '1986: Círculo de Críticos de Nueva York: Mejor película, director y actriz sec. (Wiest). 4 nom', '1986: Asociación de Críticos de Los Angeles: Mejor película, actriz sec. y guion. 5 nom.', '1986: Sindicato de Directores (DGA): Nominada a Mejor director', '1986: Sindicato de Guionistas (WGA): Mejor guión original', '1986: Asociación de Críticos de Boston: Mejor actriz sec. (Wiest) y mejor guion', '1986: Premios David di Donatello: Mejor guión extranjero. 2 nominaciones']",7.8,32484,10,1,0,https://pics.filmaffinity.com/hannah_and_her_sisters-422497044-mmed.jpg,../images/Hannahysushermanas1986.jpg,7.9,67791
417,La dolce vita,La dolce vita,1960,175 min.,Italia,Federico Fellini,"Federico Fellini, Tullio Pinelli, Ennio Flaiano, Brunello Rondi","Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Alain Cuny, Nadia Gray, Annibale Ninchi, Magali Noël, Lex Barker, Jacques Sernas, Adriano Celentano, Ida Galli","Co-production Italia-Francia; Pathé Consortium Cinéma (P.A.C.), Riama Film, Gray-Film",Drama. Comedia | Periodismo. Cine dentro del cine,"Marcello Rubini es un desencantado periodista romano, en busca de celebridades, que se mueve con insatisfacción por las fiestas nocturnas que celebra la burguesía de la época. Merodea por distintos lugares de Roma, siempre rodeado de todo tipo de personajes, especialmente de la élite de la sociedad italiana. En una de sus salidas se entera de que Sylvia, una célebre diva del mundo del cine, llega a Roma, cree que ésta es una gran oportunidad para conseguir una gran noticia, y, en consecuencia, la perseguirá por las noches por diferentes lugares de la ciudad. (FILMAFFINITY)","['1961: Oscar: Mejor vestuario (B&N). 4 nominaciones, incluyendo director y guión', '1960: Premios BAFTA: Nominada a mejor película', '1960: Festival de Cannes: Palma de Oro mejor película', '1961: Círculo de Críticos de Nueva York: Mejor película extranjera', '1961: National Board of Review: Top mejores películas extranjeras', '1959: Premios David di Donatello: Mejor director']",7.8,24552,13,1,1,https://pics.filmaffinity.com/la_dolce_vita-132177872-mmed.jpg,../images/Ladolcevita1960.jpg,8.0,67399
418,De aquí a la eternidad,From Here to Eternity,1953,113 min.,Estados Unidos,Fred Zinnemann,Daniel Taradash (Novela: James Jones),"Burt Lancaster, Montgomery Clift, Deborah Kerr, Frank Sinatra, Donna Reed, Ernest Borgnine, Jack Warden, Philip Ober, Mickey Shaughnessy, Harry Bellaver, John Dennis, Merle Travis, George Reeves",Columbia Pictures,Drama. Romance | Ejército. Amistad. Años 40. Pearl Harbor. Historias cruzadas,"Año 1941. El soldado Prewitt (Montgomery Clift), que acaba de llegar a la base militar de Pearl Harbor en Hawai, es un antiguo boxeador retirado del ring. El capitán Holmes (Philip Ober), conocedor de sus habilidades como púgil, intenta que se una al equipo del ejército, pero Prewitt rechaza la propuesta. A partir de ese momento se ve sometido a toda clase de castigos y humillaciones tanto por parte de sus superiores como de sus compañeros. Sólo cuenta con la amistad y el apoyo del soldado Angelo Maggio (Frank Sinatra). Mientras tanto, el sargento Milton Warden (Burt Lancaster) y Karen (Deborah Kerr), la mujer de Holmes, viven una historia de amor adúltera. Pero la vida de todos cambiará con el ataque japonés a Pearl Harbor. (FILMAFFINITY)","['1953: 8 Oscars, incluyendo película, director, actor sec. (Sinatra), actriz sec. (Reed), guión', '1953: Globos de Oro: Mejor director y actor de reparto (Frank Sinatra)', '1953: Premios BAFTA: Nominada a mejor película', '1954: Festival de Cannes: Premio Especial', '1953: Sindicato de Directores (DGA): Mejor director', '1953: Sindicato de Guionistas (WGA): Mejor guión drama', '1953: National Board of Review: Top 10 Mejores películas', '1953: Círculo de Críticos de Nueva York: Mejor película, director y actor (Lancaster)', '']",7.8,21431,11,1,1,https://pics.filmaffinity.com/from_here_to_eternity-414805719-mmed.jpg,../images/Deaqualaeternidad1953.jpg,7.6,43790
419,Esplendor en la hierba,Splendor in the Grass,1961,124 min.,Estados Unidos,Elia Kazan,William Inge,"Natalie Wood, Warren Beatty, Pat Hingle, Audrey Christie, Barbara Loden, Zohra Lampert, Sandy Dennis, Phyllis Dillier, Gary Lockwood",Warner Bros.,Romance. Drama | Años 20. Años 30. Gran Depresión. Drama romántico. Melodrama. Vida rural (Norteamérica),"En una localidad rural de Kansas, dos jóvenes que pertenecen a ambientes sociales muy distintos se aman y deciden no separarse jamás; pero la desaprobación de sus familias y ciertos intereses ajenos a sus sentimientos acabarán decidiendo su suerte. (FILMAFFINITY)","['1961: Oscar: Mejor guión original. 2 nominaciones', '1961: Globos de oro: Nueva promesa masculina (Beatty). 4 nominaciones', '1961: Sindicato de Directores (DGA): Nominada a Mejor director', '1962: Premios BAFTA: Nominada a Mejor actriz extranjera (Natalie Wood)']",7.8,19156,7,1,0,https://pics.filmaffinity.com/splendor_in_the_grass-323333759-mmed.jpg,../images/Esplendorenlahierba1961.jpg,7.8,17998
420,Tres colores: Rojo,Trois couleurs : Rouge (Three Colours: Red),1994,99 min.,Francia,Krzysztof Kieślowski,"Krzysztof Piesiewicz, Krzysztof Kieślowski","Irène Jacob, Jean-Louis Trintignant, Jean-Pierre Lorit, Frédérique Feder, Samuel Le Bihan, Marion Stalens, Cécile Tanner, Juliette Binoche, Julie Delpy, Benoît Régent, Zbigniew Bielawski","Co-production Francia-Polonia-Suiza; MK2 Productions, CAB Productions, France 3 Cinéma, CAB Productions, Studio Filmowe TOR",Drama,"Valentina, una joven estudiante que se gana la vida como modelo, salva la vida de un perro atropellado por un coche. La búsqueda de su dueño la conduce a un juez jubilado que tiene una extraña obsesión: escuchar las conversaciones telefónicas de sus vecinos. Si antes el espionaje telefónico formaba parte de su trabajo, ahora se ha convertido en un vicio. A Valentina le desagrada la conducta del hombre, pero no puede evitar ir a verlo. (FILMAFFINITY)","['1994: 3 nominaciones al Oscar: Fotografía, director (Krzysztof Kieslowski), guión', '1994: Nominada al Globo de Oro: Mejor película de habla no inglesa', '1994: BAFTA: 4 nominaciones, incluyendo actriz y película de habla no inglesa', '1994: Premios Cesar: Mejor música. 7 nominaciones incluyendo Película', '1994: Festival de Cannes: Nominada a la Palma de Oro (mejor película)', '1994: Premios Independent Spirit: Mejor película extranjera', '1994: Círculo de Críticos de Nueva York: Mejor película extranjera. 2 nominaciones', '1994: Asociación de Críticos de Los Angeles: Mejor película extranjera', '1994: Asociación de Críticos de Chicago: Mejor película extranjera. 2 nominaciones', '1994: Asociación de Críticos de Boston: Mejor película en habla no inglesa', '1994: Sindicato de Productores (PGA): Nominada a Mejor película']",7.8,18882,13,1,0,https://pics.filmaffinity.com/trois_couleurs_rouge_three_colours_red-153665776-mmed.jpg,../images/TrescoloresRojo1994.jpg,8.1,92269
421,El Sur,El Sur,1983,93 min.,España,Víctor Erice,Víctor Erice (Historia: Adelaida García Morales),"Omero Antonutti, Sonsoles Aranguren, Icíar Bollaín, Lola Cardona, Rafaela Aparicio, Germaine Montero, Aurore Clément, María Caro, Francisco Merino, José Vivó","Co-production España-Francia; Chloe Productions, TVE, Elías Querejeta P.C.",Drama | Familia. Infancia. Adolescencia. Posguerra española. Vida rural,"“La Gaviota” es un caserón situado en las afueras de una ciudad del norte de España. En ella viven Agustín, médico y zahorí, su mujer, maestra represaliada por el franquismo, y su hija Estrella. La niña, desde su infancia, sospecha que su padre oculta un secreto. (FILMAFFINITY)","['1983: Festival de Cannes: Nominada a la Palma de Oro (mejor película)', '1983: Festival de Chicago: Hugo de Oro - Mejor película']",7.8,14265,9,1,0,https://pics.filmaffinity.com/el_sur-703148256-mmed.jpg,../images/ElSur1983.jpg,7.9,4651
